CLUSTER,count,share,PEFATINC,PWAPRVAL,PWASTDEP,PWDPRMOR,PWDSTCRD,PWNETWPG,TOTAL_DEBT,LIQUID_ASSETS,DEBT_TO_INCOME
0,2982,0.1836,127050.0,775000.0,8000.0,310000.0,287.5,1076852.5,354000.0,18500.0,3.0599
1,13259,0.8164,77025.0,310000.0,11500.0,0.0,0.0,861500.0,0.0,33750.0,0.0
