PAGEMIEG,PATTCRU,PATTSITC,PATTSKP,PEDUCMIE,PEFATINC,PFMTYPG,PFTENUR,PLFFPTME,PNBEARG,PPVRES,PWAPRVAL,PWASTDEP,PWATFS,PWDPRMOR,PWDSLOAN,PWDSTCRD,PWDSTLOC,PWNETWPG,TOTAL_DEBT,LIQUID_ASSETS,HOME_EQUITY,DEBT_TO_INCOME,LIQUIDITY_TO_INCOME,HOME_EQUITY_TO_VALUE,SAVINGS_GAP,mahalanobis_sq,chi2_p_value,source_row
5.0,4.0,3.0,2.0,2.0,90600.0,9.0,2.0,3.0,0.0,35.0,1900000.0,1700000.0,160000.0,575000.0,0.0,0.0,0.0,13810000.0,575000.0,1860000.0,1325000.0,6.346578366445916,20.52980132450331,0.6973684210526315,1860000.0,66.44552797643702,2.1852519793696956e-12,5973
6.0,4.0,3.0,2.0,4.0,1651650.0,9.0,3.0,2.0,1.0,35.0,0.0,52500.0,140000.0,0.0,0.0,0.0,900000.0,5930080.0,900000.0,192500.0,0.0,0.5449096358187268,0.11655011655011654,,192500.0,66.26519218759982,2.378874874864323e-12,6813
5.0,4.0,3.0,2.0,3.0,116600.0,9.0,3.0,1.0,2.0,59.0,0.0,490000.0,150000.0,0.0,0.0,0.0,0.0,10637500.0,0.0,640000.0,0.0,0.0,5.4888507718696395,,640000.0,65.61461043038793,3.2309710462641306e-12,14470
4.0,4.0,3.0,2.0,1.0,554825.0,9.0,1.0,3.0,3.0,35.0,410000.0,87500.0,0.0,0.0,0.0,0.0,0.0,15547500.0,0.0,87500.0,410000.0,0.0,0.1577073852115532,1.0,87500.0,64.88880899432831,4.545475107420316e-12,6332
5.0,4.0,1.0,2.0,4.0,-151500.0,9.0,3.0,3.0,1.0,12.0,0.0,30000.0,575000.0,0.0,0.0,0.0,550000.0,6257600.0,550000.0,605000.0,0.0,3.6303630363036303,3.9933993399339935,,605000.0,64.88088240753655,4.562461519697081e-12,270
5.0,4.0,3.0,2.0,4.0,136500.0,9.0,2.0,1.0,1.0,35.0,2500000.0,31000.0,120000.0,1450000.0,0.0,0.0,0.0,12426000.0,1450000.0,151000.0,1050000.0,10.622710622710622,1.1062271062271063,0.42,151000.0,64.82016988699252,4.6945780596274744e-12,2165
5.0,4.0,3.0,2.0,3.0,47450.0,2.0,1.0,2.0,2.0,48.0,525000.0,21000.0,145000.0,0.0,0.0,0.0,0.0,10213500.0,0.0,166000.0,525000.0,0.0,3.4984193888303476,1.0,166000.0,64.56043356459627,5.304090500146685e-12,9207
5.0,4.0,3.0,2.0,1.0,209300.0,9.0,1.0,1.0,1.0,24.0,350000.0,36000.0,0.0,0.0,0.0,0.0,0.0,12906000.0,0.0,36000.0,350000.0,0.0,0.17200191113234592,1.0,36000.0,64.14335600699928,6.452505196818947e-12,157
6.0,4.0,3.0,2.0,2.0,372400.0,9.0,3.0,3.0,0.0,35.0,0.0,550000.0,105000.0,0.0,0.0,0.0,0.0,12585000.0,0.0,655000.0,0.0,0.0,1.7588614393125672,,655000.0,64.10424433600696,6.572187238873539e-12,7713
5.0,3.0,3.0,2.0,4.0,66125.0,9.0,1.0,1.0,3.0,47.0,700000.0,8000.0,10000.0,0.0,0.0,1900.0,0.0,9992100.0,1900.0,18000.0,700000.0,0.028733459357277884,0.2722117202268431,1.0,16100.0,63.90808377189092,7.206457652841891e-12,10379
6.0,4.0,3.0,2.0,4.0,681775.0,9.0,1.0,2.0,1.0,48.0,350000.0,1450000.0,0.0,0.0,0.0,0.0,0.0,11503500.0,0.0,1450000.0,350000.0,0.0,2.126801364086392,1.0,1450000.0,63.88822196541001,7.274070235041563e-12,9388
6.0,4.0,2.0,2.0,4.0,151275.0,9.0,3.0,3.0,1.0,24.0,0.0,500000.0,125000.0,0.0,0.0,0.0,0.0,10240000.0,0.0,625000.0,0.0,0.0,4.131548504379442,,625000.0,62.92053379562786,1.145683548031684e-11,4998
5.0,3.0,2.0,2.0,4.0,146300.0,9.0,3.0,3.0,3.0,35.0,0.0,3000.0,0.0,0.0,0.0,28000.0,18000.0,9061000.0,46000.0,3000.0,0.0,0.3144224196855776,0.02050580997949419,,-25000.0,62.89986524528615,1.1568523916594131e-11,11366
7.0,4.0,3.0,2.0,3.0,417475.0,9.0,1.0,3.0,0.0,48.0,400000.0,1350000.0,165000.0,0.0,0.0,0.0,0.0,12422000.0,0.0,1515000.0,400000.0,0.0,3.628959817953171,1.0,1515000.0,62.65987483498017,1.294719886857365e-11,8431
